ISO3Alphacode,CCFLowest,CCFLatest
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
NOR,1.967,1.967
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
POL,1.48,1.48
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
PRT,1.572,1.572
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
RUS,1.579,1.61
