ccf,cebparous,r2,inplotlabel,panel,CCF,CEBParous,Panel
1.938,2.0705128,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.964,2.0587003,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.928,2.0467091,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.886,2.0323277,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.915,2.0307529,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.931,2.0283613,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.926,2.0252366,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.924,2.0146596,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.921,1.9804124,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.891,1.9595855,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.873,1.9429461,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.857,1.9283489,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.8150001,1.8985356,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.7359999,1.8686759,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.684,1.8505495,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.689,1.8479213,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.7,1.8438178,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.7130001,1.8031579,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.709,1.7820647,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.694,1.7645833,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.665,1.7544785,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.618,1.7625272,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.585,1.7611111,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.575,1.7736486,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.574,1.7988571,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
,,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
,,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
,,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
,,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
,,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
3.0769999,3.2699256,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
2.987,3.1912394,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
2.908,3.1035218,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
2.8329999,3.0138297,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
2.76,2.9113925,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
2.664,2.7983193,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
2.546,2.6743698,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
2.451,2.5584552,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
2.3429999,2.4741287,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
2.198,2.4153845,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
2.1140001,2.359375,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
2.1329999,2.2960172,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
2.1070001,2.2631578,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
2.0250001,2.2525027,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.9680001,2.2440138,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.927,2.2380953,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.897,2.2396693,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.882,2.2431467,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.873,2.2350836,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.863,2.2205007,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.852,2.2153111,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.844,2.2136855,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.846,2.21875,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.846,2.2267792,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.845,2.2309554,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.8329999,2.2299271,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.8099999,2.2235873,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.804,2.2162163,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.798,2.206135,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.779,2.2017326,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.767,2.2004981,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.772,2.1985111,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.7819999,2.2027194,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.786,2.2022195,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.788,2.1992619,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.784,2.1943419,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.795,2.199755,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.808,2.2075703,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.811,2.2112331,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.8279999,2.2157576,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.8200001,2.2195122,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.812,2.2260442,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.813,2.2327585,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.801,2.2344913,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
1.788,2.2377973,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
2.1730001,,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
2.1860001,,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
2.1670001,,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
2.1559999,,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
2.1229999,,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
2.0799999,,.80000001,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1",A,,,
