ChildlessnessPercent,CCF,HFDCountry,DHSIndianDistrict,Title,Note,Source
0.011363637,3.375,0,1,,,
0.013157895,4.263157844543457,0,1,,,
0.037037037,4.259259223937988,0,1,,,
0.05479452,3.904109477996826,0,1,,,
0,4.033898354,0,1,,,
0,4.086206912994385,0,1,,,
0,4.064935207366943,0,1,,,
0.025316456,3.962025404,0,1,,,
0.018518519,3.675925970077515,0,1,,,
0.029999999,3.759999990463257,0,1,,,
0,3.688172101974487,0,1,,,
0.023809524,3.75,0,1,,,
0,3.887640476226807,0,1,,,
0.01010101,3.898989915847778,0,1,,,
0,3.922222137451172,0,1,,,
0.024691358,4.135802268981934,0,1,,,
0.061728396,3.753086329,0,1,,,
0.010989011,3.615384578704834,0,1,,,
0.025641026,3.576923131942749,0,1,,,
0.021276595,3.851063728,0,1,,,
0,4.108911037445068,0,1,,,
0,3.954954862594604,0,1,,,
0.012195121,3,0,1,,,
0.00990099,3.782178163528442,0,1,,,
0.009090909,3.909090995788574,0,1,,,
0,3.752066135406494,0,1,,,
0.009708738,3.864077568054199,0,1,,,
0.009708738,3.873786449432373,0,1,,,
0.024390243,3.951219559,0,1,,,
0,4,0,1,,,
0.011764706,3.705882311,0,1,,,
0,3.938144445419312,0,1,,,
0.00990099,3.811881303787231,0,1,,,
0.105882354,2.047058820724487,0,1,,,
.1060606092214584,1.833333373069763,0,1,,,
.1222222223877907,1.700000047683716,0,1,,,
0.105882354,1.811764717102051,0,1,,,
0.047244094,2.346456766,0,1,,,
0.05882353,2.176470518112183,0,1,,,
0.008928572,3.4375,0,1,,,
0.05882353,2.637254953384399,0,1,,,
0,3.345454454421997,0,1,,,
.1140350848436356,2.385964870452881,0,1,,,
0.038167939,2.824427366256714,0,1,,,
0.037313432,2.634328365325928,0,1,,,
.1456310749053955,2.310679674,0,1,,,
0.059701491,2.597014904022217,0,1,,,
0.0625,2.612499952316284,0,1,,,
.1392405033111572,2.810126543045044,0,1,,,
0.082352944,2.270588159561157,0,1,,,
.1176470592617989,3.223529339,0,1,,,
